시설관리공단명,사업명, 현행수입 , 인건비 , 운영비 , 공단수입 , 인건비 , 운영비 ,비용상승률,공무원인건비증가율,수입상승률,인건비상승률,운영비상승률
광주광역시 서구,종량제봉투,6652705,43193,954855,6652705,198226,780841,0.0376,0.0414,0.0376,0.0371,0.0376
광주광역시 서구,생활쓰레기,0,57795,11542587,0,8174638,2886075,0.0333,0.0414,0.011,0.0371,0.0371
광주광역시 서구,재활용,1203700,40144,2587522,1203700,1460287,1105364,0.0497,0.0414,0.0606,0.0371,0.0606
