구,한국인,외국인,외국인 비율(%)
종로구,152212,11152,6.8
중구,131390,10427,7.4
용산구,232482,14726,6
광진구,350925,14124,3.9
동대문구,354884,17310,4.7
서대문구,321966,13529,4
구로구,417983,22800,5.2
금천구,242467,13160,5.1
영등포구,398999,22385,5.3
